episode,row,col
1,265,324
2,175,323
3,109,571
4,133,504
5,7,494
6,171,121
7,252,514
8,86,411
9,272,208
10,116,355
11,133,478
12,76,535
13,99,381
14,223,183
15,98,388
16,290,243
17,204,512
18,267,254
19,197,336
20,174,391
21,272,524
22,123,407
23,280,199
24,277,538
25,231,352
26,19,501
27,266,231
28,10,584
29,204,340
30,45,473
31,23,462
32,308,325
33,190,389
34,13,345
35,56,492
36,260,478
37,258,168
38,302,180
39,208,489
40,193,310
41,197,311
42,182,480
43,307,479
44,111,356
45,155,544
46,47,483
47,272,412
48,127,545
49,141,416
50,17,535
51,86,517
52,145,403
53,300,318
54,289,408
55,105,455
56,58,554
57,270,300
58,254,181
59,261,355
60,1,446
61,216,317
62,126,536
63,233,453
64,22,406
65,289,133
66,208,148
67,312,217
68,266,224
69,237,313
70,286,306
71,298,419
72,180,552
73,271,310
74,67,432
75,69,508
76,162,348
77,253,548
78,271,413
79,270,277
80,166,158
81,273,120
82,104,475
83,23,348
84,285,410
85,154,120
86,288,215
87,209,517
88,74,589
89,105,490
90,230,291
91,85,504
92,220,456
93,150,489
94,101,125
95,13,440
96,283,473
97,298,194
98,7,480
99,307,220
100,54,475
101,131,463
102,79,535
103,151,357
104,107,117
105,301,265
106,218,376
107,194,182
108,15,544
109,53,515
110,188,292
111,192,176
112,26,504
113,227,366
114,290,516
115,226,328
116,221,439
117,206,196
118,200,211
119,297,305
120,269,344
121,279,405
122,82,471
123,97,472
124,114,491
125,179,201
126,117,121
127,210,538
128,105,108
129,223,303
130,286,201
131,217,394
132,167,367
133,277,529
134,23,439
135,237,395
136,272,324
137,205,290
138,74,486
139,242,191
140,217,151
141,175,292
142,159,549
143,233,425
144,10,488
145,212,429
146,129,428
147,223,198
148,195,421
149,311,178
150,266,389
151,6,460
152,49,551
153,134,541
154,62,434
155,283,406
156,253,541
157,14,571
158,296,383
159,2,479
160,188,356
161,121,404
162,95,116
163,193,177
164,240,293
165,272,296
166,309,379
167,219,355
168,147,499
169,185,190
170,255,398
171,204,522
172,308,520
