episode,zone_logit_corr_flat,zone_logit_corr_per_obs_mean,single_training_argmax_zone,stone_canyon_argmax_zone,zones_differ
25,0.05554302226791542,0.07150291150495702,30,30,False
50,0.14627563212781125,0.10286632097267909,30,30,False
75,0.1284187660334563,0.23909247153243446,21,21,False
100,0.16101750201313192,0.2143245531960448,29,29,False
125,0.20429907740973366,0.23909775358751095,22,22,False
150,0.2180269023945,0.23791991195984236,21,21,False
175,0.14678855965060755,0.19083751505314167,20,20,False
200,0.17696102505312886,0.22181318687067422,21,21,False
225,0.2559930508714436,0.27457558629985446,21,21,False
250,0.24133739329017354,0.2737146707654059,21,21,False
275,0.21698660333949862,0.24813044182317373,21,21,False
300,0.22329251662580948,0.3001331423771031,21,21,False
325,0.2447813735220896,0.31256435682883316,21,21,False
350,0.22230739892763007,0.29721995901023296,18,18,False
375,0.23496833306887768,0.3032504916590165,18,18,False
400,0.23016024942127639,0.2995461066898921,18,18,False
425,0.2213743261332771,0.26290982214559433,21,21,False
450,0.14931977939870036,0.20819091327325312,12,12,False
475,0.24814099240804685,0.321431845326826,21,21,False
500,0.19463261003664994,0.2733087555608512,18,18,False
525,0.25352927594805125,0.31389860363319566,21,21,False
550,0.21239172195602457,0.3023345611859277,18,18,False
575,0.2090581569082403,0.2854788429650443,18,18,False
600,0.2440142634801262,0.3025569862750111,18,18,False
625,0.2678096599024321,0.32526387089238246,21,21,False
650,0.26976787226850674,0.32394326746401664,21,21,False
675,0.2685211453130828,0.32691916223605844,21,21,False
700,0.26584418846358215,0.3350656149148855,18,18,False
725,0.20170076028906891,0.26782139724100745,18,18,False
750,0.21062870658731048,0.28629762420812055,18,18,False
775,0.19391762117621983,0.2718912653684725,18,18,False
800,0.2635790301148725,0.35180522185244867,18,18,False
825,0.223235530843315,0.3139670330407479,18,18,False
850,0.25990999131989756,0.3516226656704096,21,21,False
875,0.24899074214945294,0.3449731532275062,21,21,False
900,0.25018593171305675,0.3257142421406674,21,21,False
925,0.260117752377558,0.34812280315785216,18,18,False
950,0.2598772447182158,0.339314649008486,18,18,False
975,0.2606398763615802,0.34543151414598583,18,18,False
1000,0.2427022625765624,0.3373776132871965,18,18,False
1025,0.26105070429959554,0.3241689634819161,21,21,False
1050,0.255699188544871,0.3259751466945799,21,21,False
1075,0.27435995366925936,0.37026864769611106,18,18,False
1100,0.18599182469164252,0.269143269550734,18,18,False
1125,0.25943439635644394,0.3568795305540852,18,18,False
1150,0.2475166484064024,0.33566003327131416,18,18,False
1175,0.26818091402617494,0.35858079428386735,18,18,False
1200,0.23745339559578918,0.33250004283381057,18,18,False
1225,0.17600716280097797,0.2550874653858408,18,18,False
1250,0.25477257470528125,0.3489630547722811,18,18,False
1275,0.28260171932075834,0.3551169086440391,21,21,False
1300,0.18096044679240067,0.26975981774122015,18,18,False
1325,0.14549372589036277,0.21343883543628522,18,18,False
1350,0.2731308638339571,0.37151375434244055,18,18,False
1375,0.28967577379273945,0.37351006317690705,21,21,False
1400,0.251572332199626,0.359619847992219,18,18,False
1425,0.2343861802395807,0.33188260320499874,18,18,False
1450,0.29483224495055077,0.39046422681181353,18,18,False
1475,0.288341762350219,0.36039804031655287,21,21,False
1500,0.28707424027570605,0.3740402414769151,18,18,False
1525,0.2979543166069885,0.3657382470660298,21,21,False
1550,0.29939390538716576,0.3710293324386664,18,18,False
1575,0.28832415595257815,0.35733022867677955,21,21,False
1600,0.2588335938581231,0.30917454284502155,21,21,False
1625,0.2852163527176708,0.3755124893421516,21,21,False
1650,0.2928124530519406,0.3812703354692312,18,18,False
1675,0.2909190617416477,0.3731568193020173,18,18,False
1700,0.2943751355371479,0.3600070581781436,21,21,False
1725,0.3024630277729754,0.38789234711781395,18,18,False
1750,0.24429011236407266,0.32562790766635286,18,18,False
1775,0.24425929612265496,0.3269651930434928,18,18,False
1800,0.2681933968570733,0.3495910535669459,18,18,False
1825,0.21648225721001113,0.2987989805656877,18,18,False
1850,0.24726045746342373,0.3322806556328082,18,18,False
1875,0.2824446453037893,0.35398468410343964,18,18,False
1900,0.31422052214979673,0.3928044277007281,18,18,False
1925,0.29578636306822426,0.3737101586551238,21,21,False
1950,0.2780815768767663,0.36670429418885575,18,18,False
1975,0.30352951497196795,0.37578477539503063,21,21,False
2000,0.31010726646959474,0.3903689293911835,18,18,False
