episode,ignition_row,ignition_col,seed,device,n_ticks,total_reward,mean_reward_per_tick,buildings_destroyed,contained,timeout,first_building_loss_tick,peak_active_fire,final_active_fire,peak_blaze,policy_loss,value_loss,classification_loss,aux_target_loss,entropy,resource_entropy,target_entropy,grad_norm,actions_per_tick,max_actions_tick,noop_ticks,dispatch_attempts,successful_dispatches,wasted_dispatches,unavailable_resource_attempts,unreachable_zone_attempts,mean_response_ticks,mean_traffic_delay_s,traffic_mean_load,traffic_max_load,water_team_dispatches,trench_crew_dispatches,rescue_vehicle_dispatches,helicopter_dispatches,water_team_effect_success,trench_crew_effect_success,rescue_vehicle_effect_success,helicopter_effect_success
1,119,440,,cpu,6,-192.64950510857264,-32.10825085142877,0,True,False,,11,0,8,-758.9638671875,7382.4777425130205,11.018550554911295,1.732867956161499,1.732867956161499,2.971823255221049,1.732867956161499,,2.5,10,4,15,15,0,0,0,6.333333333333333,103.54625222956699,1.55117,10.6,3,4,3,5,1,0,0,0
2,292,427,,cpu,6,-1817.9074443241914,-302.9845740540319,5,True,False,2,9,0,7,-121.52492777506511,221.43714347481728,8.993161996205648,2.746530612309774,2.746530612309774,2.765695889790853,2.746530612309774,,2.5,10,4,15,15,0,0,0,6.133333333333334,97.38072056126569,1.3610188,8.6,3,4,3,5,2,1,0,0
3,163,365,,cpu,150,-90221.8838139695,-601.4792254264634,299,False,True,13,176,145,136,-68.21828474998475,3262.036810621818,6.69240164120992,0.9671286304791769,0.9661964786052704,0.30137569646040596,0.9661964786052704,,0.9133333333333333,10,79,137,137,0,0,0,7.518248175182482,153.0487251990505,1.9956765,10.6,34,37,26,40,12,7,2,8
4,236,496,,cpu,6,-889.4126307868714,-148.23543846447856,2,True,False,2,6,0,5,13.945681889851889,6.560079574584961,4.838616609573364,2.746530612309774,2.746530612309774,2.6151300271352134,2.746530612309774,,2.5,10,4,15,15,0,0,0,7.733333333333333,162.92005988290336,2.1205482,10.6,3,4,3,5,0,0,0,1
5,285,343,,cpu,7,-456.62269611154056,-65.23181373022008,1,True,False,2,13,0,9,10.328516006469727,6.166303225925991,2.7815863404955183,2.35416909626552,2.35416909626552,1.9235289607729231,2.35416909626552,,2.142857142857143,10,5,15,15,0,0,0,6.333333333333333,111.3896164229881,1.7503432,10.6,3,4,3,5,1,0,0,1
6,133,468,,cpu,6,-82.65057992680939,-13.77509665446823,0,True,False,,18,0,13,10.736741383870443,5.339773178100586,0.9449693163235983,1.732867956161499,1.732867956161499,2.6293781995773315,1.732867956161499,,2.5,10,4,15,15,0,0,0,6.333333333333333,103.54983495702284,1.5416399,10.6,3,4,3,5,1,0,0,2
7,153,159,,cpu,14,-224.00111237585415,-16.000079455418152,0,True,False,,23,0,18,3.4705345971243724,4.513849939618792,0.19584307500294276,0.9240521362849644,0.729609625680106,1.0460074629102434,0.729609625680106,,1.0714285714285714,10,12,15,15,0,0,0,11.533333333333333,274.8560593892884,2.7834423,8.4,3,4,3,5,1,1,0,3
8,114,381,,cpu,150,-28778.324014502603,-191.85549343001736,107,False,True,20,374,369,285,2.1451668306191762,3.6105818716684976,0.1280916007856528,0.9902908472220103,0.9784665679931641,0.174188458720843,0.9784665679931641,,0.8933333333333333,10,73,134,134,0,0,0,8.104477611940299,175.48258847844076,2.0784676,10.6,30,34,25,45,9,6,1,8
9,176,152,,cpu,150,-61232.20742111876,-408.2147161407917,216,False,True,16,446,438,340,0.39180170631657046,0.7835075819667084,0.1494591389844815,0.941964228351911,0.8705462698141734,0.2186663227279981,0.8705462698141734,,0.8266666666666667,10,89,124,124,0,0,0,9.185483870967742,195.02449569360977,2.5311527,10.6,28,32,24,40,10,3,0,13
10,231,193,,cpu,15,-474.9001037214437,-31.660006914762914,2,True,False,2,14,0,11,1.084396489461263,1.7085781733194987,0.03684482971827189,0.36620410283406574,0.36620410283406574,0.4379485845565796,0.36620410283406574,,0.3333333333333333,3,12,5,5,0,0,0,5.0,0.0,0.0,0.0,0,0,0,5,0,0,0,3
