episode,ignition_row,ignition_col,seed,device,n_ticks,total_reward,mean_reward_per_tick,buildings_destroyed,contained,timeout,first_building_loss_tick,peak_active_fire,final_active_fire,peak_blaze,policy_loss,value_loss,classification_loss,aux_target_loss,entropy,resource_entropy,target_entropy,grad_norm,actions_per_tick,max_actions_tick,noop_ticks,dispatch_attempts,successful_dispatches,wasted_dispatches,unavailable_resource_attempts,unreachable_zone_attempts,mean_response_ticks,mean_traffic_delay_s,traffic_mean_load,traffic_max_load,water_team_dispatches,trench_crew_dispatches,rescue_vehicle_dispatches,helicopter_dispatches,water_team_effect_success,trench_crew_effect_success,rescue_vehicle_effect_success,helicopter_effect_success,rc_fire_extinguished,rc_fire_penalty,rc_dispatch_cost,rc_trench_bonus,rc_buildings_destroyed,rc_travel_delay,rc_wasted,trench_held_total
1,119,440,,cpu,6,-343.6495051085726,-57.274917518095435,0,True,False,,11,0,8,-0.5421101252237955,0.0057316905197997885,7.488282124201457,1.732867956161499,1.732867956161499,2.569827755292257,1.732867956161499,,2.5,10,4,15,15,0,0,0,6.333333333333333,103.54625222956699,1.55117,10.6,3,4,3,5,1,0,0,0,50.0,-20.0,-131.0,0.0,0.0,-212.6495051085726,0.0,0
2,292,427,,cpu,6,-1963.0447870751957,-327.17413117919926,5,True,False,2,9,0,7,-67.24988428751628,78.50580059488614,7.02102796236674,2.746530612309774,2.746530612309774,2.290637493133545,2.746530612309774,,2.5,10,4,15,15,0,0,0,6.133333333333334,97.83852973128006,1.4086295,8.6,3,4,3,5,2,1,0,0,100.0,-14.0,-131.0,0.0,-1718.8371539115906,-199.20763316360512,0.0,0
3,163,365,,cpu,150,-97900.958899913,-652.6730593327534,310,False,True,13,145,71,110,-65.9144613691171,3446.106912561588,6.660411160786946,0.9877697253227233,0.975215003490448,0.23485825896263124,0.975215003490448,,0.92,10,74,138,138,0,0,0,7.384057971014493,148.83552778702284,2.0680819,10.6,35,37,26,40,21,10,3,9,1500.0,-5058.0,-1149.0,0.0,-90034.55627727177,-2259.402622641233,0.0,0
4,236,496,,cpu,6,-1039.0344418451054,-173.17240697418424,2,True,False,2,6,0,5,14.215920766194662,6.76861047744751,6.328235308329265,2.746530612309774,2.746530612309774,2.81270162264506,2.746530612309774,,2.5,10,4,15,15,0,0,0,7.733333333333333,163.32609674368365,2.0231712,10.6,3,4,3,5,0,0,0,1,50.0,-8.5,-131.0,0.0,-651.4601051807404,-268.0743366643651,0.0,0
5,285,343,,cpu,7,-592.1336976412442,-84.59052823446346,1,True,False,2,13,0,9,10.231201989310128,5.92685283933367,5.976420538766043,2.35416909626552,2.35416909626552,2.015644516263689,2.35416909626552,,2.142857142857143,10,5,15,15,0,0,0,6.333333333333333,111.42628818866676,1.7929424,10.6,3,4,3,5,1,0,0,1,100.0,-24.5,-131.0,0.0,-294.5672631263733,-212.06643451487088,0.0,0
6,133,468,,cpu,6,-248.08160476470542,-41.3469341274509,0,True,False,,18,0,13,9.23219347000122,4.967997312545776,5.600607951482137,1.732867956161499,1.732867956161499,2.5198516845703125,1.732867956161499,,2.5,10,4,15,15,0,0,0,6.333333333333333,103.31991775000978,1.5977125,10.6,3,4,3,5,1,0,0,2,150.0,-34.5,-131.0,0.0,0.0,-212.58160476470545,0.0,0
7,153,159,,cpu,7,-406.0359211697084,-58.00513159567263,0,True,False,,23,0,18,8.184863635471888,4.195584229060581,5.214085851396833,0.8931141921452114,1.3748300756726946,2.491044180733817,1.3748300756726946,,2.142857142857143,10,5,15,15,0,0,0,12.466666666666667,279.9106015298795,2.1916025,8.4,3,4,3,5,0,0,0,4,200.0,-48.0,-131.0,0.0,0.0,-427.0359211697084,0.0,0
8,114,381,,cpu,150,-32091.548135795492,-213.9436542386366,83,False,True,19,241,241,177,1.6428391416867574,1.873898533185323,4.888803488413493,1.0442379760742186,1.0192792912324269,0.1950816786289215,1.0192792912324269,,0.9066666666666666,10,76,136,136,0,0,0,7.720588235294118,159.74501922001818,1.96973,10.6,31,34,26,45,15,6,0,6,1050.0,-7909.5,-1180.0,0.0,-20726.5271037817,-2345.5210320137926,0.0,0
9,176,152,,cpu,8,-353.60178124954564,-44.200222656193205,0,True,False,,22,0,18,4.622611999511719,2.07751527428627,4.437252342700958,1.2996509671211243,1.2996509671211243,1.8946035504341125,1.2996509671211243,,1.875,10,6,15,15,0,0,0,10.2,250.7077622123739,2.7616682,10.6,3,4,3,5,0,0,0,4,200.0,-51.0,-131.0,0.0,0.0,-351.60178124954564,0.0,0
10,231,193,,cpu,18,-1638.6446329687276,-91.03581294270708,6,True,False,2,14,0,11,0.9421625269783868,1.7156278292338054,4.050867001215617,0.30517008569505477,0.30517008569505477,0.3767785496181912,0.30517008569505477,,0.2777777777777778,1,13,5,5,0,0,0,5.0,0.0,0.0,0.0,0,0,0,5,0,0,0,4,200.0,-66.0,-75.0,0.0,-1645.6543922424316,-51.990240726296015,0.0,0
