episode,ignition_name,device,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,value_grad_norm,other_grad_norm,wall_time_s
1,sullivan_canyon,mps,150,-51578.50967609839,186,False,-93025.10842885335,623572443.8714559,0.2218154493967692,4.142678894996643,38985808.0,75125888.0,6.8376078750006855
2,topanga_ridge,mps,150,-26382.3127149604,94,False,6.798738054434458,2.741264906724294,0.2506074238816897,4.205741378466288,2111.033203125,3869.231689453125,6.371111957996618
3,sullivan_canyon,mps,150,-45193.886366070714,167,False,-0.3666887134561936,0.5867872025562004,0.1970122707883517,4.192252000172933,468.835205078125,942.3768920898438,6.278842832994997
4,sullivan_canyon,mps,150,-70808.6398858216,256,False,-5.786671318511168,3.2051302807203803,0.18238002434372902,4.1932809972763065,2385.265380859375,3791.510498046875,6.2887117080099415
5,stone_canyon,mps,150,-167464.8218376155,575,False,-17.212911241799592,19.715756358414072,0.17154325395822526,4.189927574793498,5425.32275390625,9313.1376953125,6.1682930840033805
6,topanga_ridge,mps,150,-28128.55868913034,101,False,6.020335450172424,2.50072811126709,0.23571741993228595,4.179163274765014,2859.290283203125,4421.568359375,6.365998166991631
7,stone_canyon,mps,150,-174589.84536870365,597,False,-5.780369384189447,2.6455608065550527,0.13966915249824524,4.164334295590718,1597.4757080078125,2718.58984375,6.4067627920012455
8,stone_canyon,mps,150,-109366.4665184095,375,False,2.2349249180903037,1.0406109371405303,0.11701361368099848,4.145126687685648,1965.40576171875,2969.817138671875,6.4435584580060095
9,topanga_ridge,mps,150,-12952.678719548632,43,False,8.903709147771199,5.62141508102417,0.2134290908028682,4.1269762961069745,4637.6064453125,7500.88037109375,6.6547510829987
10,sullivan_canyon,mps,150,-54475.06326226367,201,False,5.028967963059743,2.023756642738978,0.1672006487349669,4.1249101384480795,2810.939208984375,4370.71826171875,6.2690904999908525
11,topanga_ridge,mps,150,-18678.722430464815,66,False,6.94341233253479,3.522878851890564,0.2217812019586563,4.127502331733703,3504.606201171875,5484.974609375,5.963736416000756
12,stone_canyon,mps,150,-130055.81992640819,448,False,-1.5958270282546678,0.5270496974101601,0.1313716941823562,4.132413840293884,204.34164428710938,623.8548583984375,6.461589792001178
13,topanga_ridge,mps,150,-8091.040329586977,23,False,6.731096436182658,3.0141543173789977,0.24787940785288812,4.12703928788503,3023.00390625,4434.0185546875,6.319750916998601
