episode,scenario_name,device,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,value_grad_norm,other_grad_norm,wall_time_s
1,single_training,mps,150,-143628.2081666291,475,False,-284465.9062434896,4448114502.416667,0.07124275265882413,4.409617630640666,79201336.0,175524112.0,6.73069337499328
2,stone_canyon,mps,150,-153455.8935034613,529,False,-283671.081171875,4441371736.286667,0.06080481397608916,4.427220853169759,93246616.0,192113120.0,6.11659341599443
3,single_training,mps,8,-56.03821979107845,0,True,6.618753671646118,2.2382469177246094,0.016528990818187594,4.305142939090729,110.00021362304688,194.12754821777344,0.3747227920102887
4,single_training,mps,150,-143824.59254640384,472,False,3.979824925630043,2.983452204595448,0.06878140301133195,4.403726191520691,3109.815673828125,7053.9169921875,6.255185124988202
5,single_training,mps,150,-88519.59055945961,292,False,8.58152180592219,6.384669737741351,0.06771867387617628,4.385551767349243,4784.0234375,9724.8251953125,6.5876554579881486
6,stone_canyon,mps,150,-142495.099431713,488,False,5.846144203046958,6.05359582256681,0.058261339943856,4.369330428441366,4272.7900390625,9111.3935546875,6.385699167003622
7,single_training,mps,150,-126228.10133374152,422,False,2.7678517266362905,1.9353311956061225,0.06838876149306694,4.345820728937785,2358.7939453125,5125.6337890625,6.60809049999807
8,single_training,mps,150,-118729.8873412474,393,False,2.1607999571288627,1.5459321175664809,0.055963081580897175,4.315759641329447,1995.580322265625,4212.30615234375,6.7450931670027785
9,single_training,mps,150,-87440.89160636059,283,False,3.8916380647321542,1.3058440969471121,0.05404933501034975,4.286262760162353,1845.1751708984375,3806.82373046875,6.18248187500285
10,single_training,mps,150,-99597.3130846338,323,False,1.1294285749644042,0.2954194364362411,0.05291338206579288,4.265242970784505,652.2019653320312,1354.9154052734375,6.447570332995383
11,single_training,mps,150,-141669.70649472583,470,False,-3.1828393782426914,0.7746488533899537,0.06177836650361617,4.2441440677642825,767.4478759765625,1233.888671875,6.2412670419726055
12,single_training,mps,150,-97968.81598003882,319,False,0.2758967335669634,0.12174522160365257,0.06414533315847318,4.23290164788564,216.94639587402344,499.7085266113281,6.268082208989654
13,topanga_ridge,mps,150,-10649.04960828838,35,False,-19770.336363932292,25161656.75,0.11532972248271108,4.222336719830831,7391664.0,14024298.0,6.161673957976745
14,single_training,mps,150,-110942.4515841723,366,False,-1.8470841910131275,0.37509329061402846,0.07966416620338956,4.2140564457575485,636.8882446289062,1152.9224853515625,6.238969333004206
15,single_training,mps,150,-108110.5397077946,350,False,-1.770409560756913,0.29312544816572783,0.06470698686316609,4.21206069946289,804.3120727539062,1496.48876953125,6.154733167000813
16,single_training,mps,6,-26.89936105626228,0,True,3.091765602429708,0.6363990952571233,0.011869869194924831,4.293176968892415,39.79796600341797,48.91144943237305,0.24697849998483434
17,single_training,mps,150,-146781.2667221065,475,False,-5.386836450795332,1.9095527180284262,0.07329822575673461,4.20172023455302,1996.042724609375,3590.1826171875,5.85502083299798
18,single_training,mps,7,29.948984246658902,0,True,2.380761521203177,0.545319812638419,0.01329046008842332,4.252688135419573,43.77253723144531,64.93930053710938,0.26205458398908377
19,stone_canyon,mps,150,-163759.95431565744,562,False,-3.580847694774469,1.0744301156199072,0.054050407831867535,4.174435513814291,1415.6324462890625,2567.1181640625,6.16920500001288
20,single_training,mps,150,-95168.9030235536,313,False,0.2155466005206108,0.17294852309135725,0.06381452475984892,4.16139833132426,387.5628662109375,814.2538452148438,6.005440167005872
21,single_training,mps,5,3.83813388802686,0,True,2.0986671328544615,0.2764765828847885,0.012963635288178921,4.119549751281738,23.81353759765625,25.85650634765625,0.2017531249730382
22,topanga_ridge,mps,150,-2850.559820809191,3,False,10.573000372250874,7.2713366254170735,0.09828358804807066,4.140830642382304,3440.396240234375,6185.02685546875,6.246386541984975
23,single_training,mps,150,-89313.07493255289,292,False,0.19695378543809056,0.1467728581823091,0.04823002107441425,4.12396079381307,170.8096923828125,322.5930480957031,6.1553979580057785
24,single_training,mps,150,-132284.45435787743,438,False,-3.7174129085739454,0.9042307028915578,0.09541241918380061,4.111166076660156,1060.8343505859375,1621.1270751953125,5.93384229199728
25,single_training,mps,5,1.2658203569451132,0,True,1.1967610359191894,0.12672753930091857,0.01318651270121336,3.9852547645568848,16.987287521362305,21.754091262817383,0.19048566700075753
26,stone_canyon,mps,150,-104782.05877141288,361,False,1.661037431191653,0.34748194371365876,0.053011844456195834,4.094404069582621,413.5790710449219,840.0502319335938,6.1641384579997975
27,single_training,mps,150,-92332.39149135487,307,False,-0.22239735145121814,0.20187211324000998,0.06187664838507771,4.079024923642477,305.4861145019531,679.402587890625,6.1013525830057915
28,stone_canyon,mps,150,-102395.57981397214,355,False,1.235967389891545,0.3890825727081392,0.05798863332097729,4.0642404429117835,480.09698486328125,1026.445068359375,5.977506875002291
29,single_training,mps,150,-107731.89780914772,356,False,-2.0540200212349493,0.4586431929694178,0.05536459097017844,4.052662636439005,846.4678955078125,1334.8824462890625,6.002981625002576
30,sullivan_canyon,mps,150,-62195.67883020383,237,False,-109862.7182047526,883348534.5047916,0.08363881738235553,4.048504867553711,39220388.0,65651180.0,5.948328208993189
31,single_training,mps,15,-107.57553445276946,0,True,1.628578205903371,0.29937929530472807,0.015618957517047723,3.974009068806966,51.457950592041016,68.89691925048828,0.5584612499806099
32,sullivan_canyon,mps,150,-48743.710115170055,184,False,-0.19368307458857695,0.15194610815456447,0.06902074778452516,4.0359253454208375,174.67306518554688,225.5068817138672,5.952564334002091
33,single_training,mps,150,-93785.61392690681,307,False,-1.0708141981546457,0.26379677007299407,0.05070151737580697,4.032588356335958,290.1484069824219,410.9977111816406,6.069508416025201
34,stone_canyon,mps,3,29.99083668035051,0,True,1.1064290603001912,0.09473174562056859,0.014287241113682589,3.7029828230539956,9.69416618347168,13.49278736114502,0.13888229100848548
35,single_training,mps,4,18.349271285160036,0,True,0.06399948359467089,0.0026974633838108275,0.011755786370486021,3.6818560361862183,0.6267399191856384,3.9697554111480713,0.16000887501286343
36,single_training,mps,4,20.409482476303072,0,True,0.02189995243679732,0.002634914493683027,0.007332249195314944,3.6722500324249268,0.5824023485183716,3.0555312633514404,0.14734358299756423
37,single_training,mps,150,-93950.29759521391,305,False,-1.0788942155987025,0.2467594412251492,0.05565876559043924,4.040498681068421,272.26104736328125,316.91796875,6.289314708992606
38,single_training,mps,150,-110678.80050392766,370,False,-2.302093117237091,0.48422677615770227,0.07652528742483507,4.051188532511393,499.6648254394531,563.0757446289062,6.207772667024983
39,single_training,mps,150,-134165.98613179033,437,False,-4.219634536604087,1.2848709263427494,0.08149886480843027,4.068356296221415,1116.9808349609375,1606.970703125,5.946112083009211
40,single_training,mps,150,-106542.54634117235,350,False,-1.3424550491943956,0.2934526180408587,0.07530302238029739,4.086218395233154,289.78680419921875,361.0007019042969,5.769566500006476
41,single_training,mps,150,-146293.7443631679,484,False,-4.5699012072881064,1.3875049566450373,0.09587355888060604,4.103038179079691,1012.5914916992188,1392.6575927734375,6.085886999993818
42,sullivan_canyon,mps,150,-54434.70094583155,202,False,-0.521186120286584,0.18305662728727232,0.11229784576765572,4.129160353342692,209.38365173339844,467.1163635253906,6.377098666998791
43,topanga_ridge,mps,150,-16451.28666123238,57,False,-9.380984466870625,6.8018041284879045,0.1587551221709388,4.148513278961182,3551.335693359375,6656.9609375,6.013138625014108
44,single_training,mps,5,-3.510905107580152,0,True,1.3091779470443725,0.23922961056232453,0.0025656719226390123,3.962695026397705,22.5194091796875,34.73659133911133,0.2012340000073891
45,single_training,mps,150,-79319.29154037496,259,False,3.2666448163986206,0.9375273337960244,0.07187258801423013,4.177876516977946,1352.0809326171875,2691.85302734375,5.798645792005118
46,single_training,mps,5,-5.540431005348424,0,True,1.776966941356659,0.2771661192178726,0.003091329662129283,3.964980363845825,24.057405471801758,29.61832046508789,0.20817454101052135
47,single_training,mps,4,18.34927128516004,0,True,1.599049523472786,0.245245523750782,0.0035870634019374847,3.9342509508132935,18.337257385253906,23.20159912109375,0.16330975000164472
48,single_training,mps,150,-111986.90340182245,371,False,1.7598104595641295,1.7751262064045294,0.06759137365656595,4.177235536575317,1953.9315185546875,4079.69677734375,6.366681582992896
49,single_training,mps,150,-112780.62275218521,370,False,1.587560434838136,1.7382330914633348,0.07411202575390538,4.172425545056661,1929.2022705078125,4065.145263671875,6.09468733301037
50,single_training,mps,4,19.54336383380884,0,True,1.3268230855464935,0.15724163502454758,0.005797004560008645,3.8262571692466736,15.216628074645996,18.43665885925293,0.16273004200775176
51,single_training,mps,150,-82999.41774685652,272,False,4.011875036420921,1.8295668200894093,0.052867322157447535,4.151908543904622,2164.781982421875,4299.7666015625,6.169394166994607
52,single_training,mps,150,-117707.91430763534,381,False,0.8227782394737005,1.234628237294916,0.056870767980193096,4.1422551107406616,1406.8602294921875,3188.958984375,6.110966041014763
53,single_training,mps,150,-111548.49351431131,363,False,0.9111678990721702,1.0252395421641631,0.052608972638845446,4.132898925145467,1239.791015625,2921.20068359375,6.082276000001002
54,single_training,mps,150,-147544.32299963478,488,False,-2.6456612994273505,1.2432335139659698,0.07200916410113374,4.1188119745254514,458.3193664550781,804.7251586914062,6.187483166984748
55,sullivan_canyon,mps,150,-65868.30493869583,239,False,-1.9712345030655463,0.6186656794336644,0.056538411658257244,4.115599710146586,867.1029663085938,1654.98974609375,6.167148458014708
56,single_training,mps,150,-134130.39055391788,448,False,-1.8048373588422935,0.649169219888281,0.06491025860110919,4.101391984621684,356.434326171875,529.6464233398438,6.293120999995153
57,single_training,mps,150,-137289.9296016283,449,False,-2.07827781625092,0.7024791121767339,0.060578814620773,4.102311228116354,413.89947509765625,541.4497680664062,5.762348166026641
58,single_training,mps,5,-29.878085783181717,0,True,0.9541910111904144,0.07227282635867596,0.02183329053223133,3.6298078536987304,12.989750862121582,16.663585662841797,0.19954041700111702
59,sullivan_canyon,mps,150,-48423.85496109965,182,False,1.8167982336009543,0.39266516507314614,0.06177201385299365,4.107050218582153,323.4313049316406,690.20703125,6.108966707979562
60,single_training,mps,150,-163315.12723198248,546,False,-4.6187936104337375,1.6691059978877698,0.06035742703825235,4.107010725339253,1253.11474609375,1939.6651611328125,6.1064725420146715
61,single_training,mps,12,-149.87433660493014,0,True,1.5704435979326565,0.17581372413163385,0.013618689418459931,3.7475544810295105,43.98561477661133,43.94074249267578,0.47193266701651737
62,single_training,mps,150,-163699.64924346222,538,False,-4.831773444612821,1.9830432294992109,0.06451739385103186,4.107668298085531,1980.591064453125,3747.89599609375,6.058812625007704
63,topanga_ridge,mps,150,-19863.812940513504,71,False,-6.124934649467468,3.9485988451043763,0.09514381845171253,4.114416502316793,3080.569091796875,6076.421875,6.124209708010312
64,single_training,mps,150,-103531.81249888206,345,False,0.30225353124551474,0.2185000312825044,0.07070720015714566,4.106503251393636,134.4939727783203,308.4066467285156,6.068364125007065
65,topanga_ridge,mps,150,-24466.86360416538,88,False,-5.908900008598963,4.244605393136541,0.11849181925567488,4.1175988674163815,3066.815185546875,6201.92724609375,5.820778583991341
66,single_training,mps,150,-99994.8562583802,327,False,0.8542813227201501,0.2558054804086472,0.05857744451612234,4.119942482312521,280.6813659667969,667.6779174804688,6.09740120798233
67,single_training,mps,150,-123070.26937371651,404,False,-1.0219485885072208,0.2619483625725544,0.06660249618813395,4.125458308855692,247.23062133789062,309.0782470703125,6.082550791994436
