episode,device,n_ticks,ignition_row,ignition_col,reward,shaped_reward_total,buildings_destroyed,contained,timeout,policy_loss,value_loss,classification_loss,entropy,is_anchor,approx_kl_first_epoch,approx_kl_last_epoch,epochs_run,minibatches_run,early_stopped,stop_reason,value_grad_norm,other_grad_norm,wall_time_s
1,mps,150,165,455,-162478.39326295682,0.0,560,False,True,-0.19043685810174793,3961.1205672621727,0.06885386473732069,4.470504529774189,False,0.0,0.04725784142812093,0,2,True,kl,11095.9501953125,26440.490234375,14.3245300000126
2,mps,5,289,332,-660.3202622121539,0.0,2,True,False,-0.04247151613235474,2.0687178134918214,0.013474155869334935,4.300357532501221,False,0.0,0.06888079643249512,1,2,True,kl,62.387332916259766,113.48759460449219,0.5498012079915497
3,mps,150,118,388,-43943.442828561834,0.0,160,False,True,-0.0655508479103446,13.489176511764526,0.12664617502014153,4.262928880751133,False,0.0,0.0760045067469279,0,2,True,kl,701.0643310546875,1406.019775390625,14.098092792002717
4,mps,134,224,433,-95855.27180398598,0.0,297,True,False,-0.1702764767105691,152.56507080158917,0.04102755132771563,4.040504470467567,False,0.0,0.04587082364665928,0,2,True,kl,2542.51611328125,6092.685546875,12.337240749999182
5,mps,51,247,478,-11582.829964982802,0.0,31,True,False,-0.01593561307527125,5.188351789513035,0.006952601674129255,3.453213192522526,False,0.0,0.15561319332496792,0,2,True,kl,351.19189453125,1014.923828125,4.259781625005417
6,mps,7,285,419,-2116.1096720606465,0.0,6,True,False,-0.043778304542813985,19.247027856963022,0.0018348090899442987,2.2850499749183655,False,0.0,0.003951311111450195,4,4,False,,1254.3963623046875,3737.88916015625,1.3384552500210702
7,mps,150,207,222,-126196.84236264763,0.0,422,False,True,0.26937142794486135,337.88514489494264,0.12820022225787397,2.454718445738157,True,0.0,0.03357875029246012,0,3,True,kl,13754.2509765625,32847.046875,16.97064912499627
8,mps,150,290,529,-156437.12093515723,0.0,419,False,True,0.0005503713910002261,457.1388083193451,0.0824911165254889,2.0952860340476036,False,0.0,0.05842724959055583,0,2,True,kl,12343.76953125,34051.0078125,14.619772124977317
9,mps,150,87,502,-157058.82802818978,0.0,541,False,True,-0.11009699665009975,449.87415394186974,0.15944847807986662,1.8468947261571884,False,0.0,0.04443542798360189,0,1,True,kl,15833.091796875,39363.5546875,10.504974792012945
10,mps,150,99,470,-116151.50062394496,0.0,395,False,True,0.02503694943152368,245.87655047234148,0.14477828255621716,1.6720757260918617,False,0.0,0.09713851610819499,0,2,True,kl,10573.998046875,30823.72265625,14.32154824997997
11,mps,8,256,468,-2082.7248893549095,0.0,6,True,False,0.05162143427878618,259.6814453601837,0.001910134309582645,0.9412461798638105,False,0.0,-0.0412941575050354,3,4,True,kl,12999.35546875,38759.8828125,1.555255750019569
12,mps,150,97,451,-96649.06644736863,0.0,329,False,True,0.1245720714602309,115.60832156141016,0.11543110098379354,0.9909420174856981,False,0.0,0.04667396863301595,0,3,True,kl,5051.74853515625,15133.107421875,18.23722795798676
13,mps,150,109,453,-186785.08945033682,0.0,654,False,True,-0.33482055709464476,229.79589095711708,0.27683679640176706,0.7276989743113518,False,0.0,0.07217831293741862,0,2,True,kl,27346.46484375,77182.1328125,14.179022332973545
14,mps,150,207,222,-111032.82657392275,0.0,366,False,True,-0.09344325517304242,167.53232900303556,0.1850744749972364,0.4585990849882364,True,0.0,0.030559778213500977,0,2,True,kl,5183.490234375,13105.9892578125,15.694513415975962
15,mps,150,186,544,-80877.62607441901,0.0,267,False,True,0.11793858766153183,43.27006964307899,0.16262542334152386,0.17814914525176087,False,0.0,0.04460512161254883,0,3,True,kl,28498.365234375,86050.4609375,18.4383650420059
16,mps,7,307,470,-132.56734474202477,0.0,0,True,False,1.281978828566415e-05,2376.188895089286,0.0012473392624607576,0.07661047471421105,False,0.0,-0.0013874598911830357,4,4,False,,69929.7109375,214215.46875,1.3387437089986634
17,mps,37,301,427,-30189.379587590374,0.0,85,True,False,0.06050191923871741,379.41618439987616,0.005371668183088459,0.1563232342054794,False,0.0,0.032724200068293394,3,11,True,kl,8241.291015625,24298.17578125,13.027886916010175
18,mps,150,182,455,-128612.22792091689,0.0,433,False,True,0.022078689223738956,84.3747494632955,0.060548282461990344,0.09723560602600034,False,0.0,0.03433102289835612,3,31,True,kl,5610.13720703125,15881.2001953125,123.92558245899272
19,mps,150,58,475,-113245.26121403433,0.0,382,False,True,0.0004283676575869322,73.85870015621487,0.06100275550192843,0.011927689375200619,False,0.0,-0.002723973592122396,4,40,False,,4132.77978515625,9478.5087890625,157.46236987499287
20,mps,150,177,511,-58431.776580545375,0.0,190,False,True,-0.0024077033143172838,40.47062950911631,0.025990089144712934,0.010770907564195416,False,0.0,-0.0034943898518880207,4,40,False,,9787.544921875,24665.1953125,161.77390116697643
21,mps,150,207,222,-144032.9383406371,0.0,465,False,True,0.3231530971825123,365.1267428342253,0.09616800956428051,0.0033006814919644967,True,0.0,-5.772908528645833e-05,0,1,True,entropy_floor+grad_spike,52930.70703125,128690.0859375,9.619965042016702
22,mps,150,101,98,-2558.470645877761,0.0,1,False,True,3.2828251520792644e-06,20.013287516099467,0.05380678986470836,0.0038510616414714604,False,0.0,3.7384033203125e-06,4,40,False,,865.9362182617188,2401.80029296875,155.9696634169959
23,mps,150,35,541,-80333.07613644161,0.0,265,False,True,-1.2821070655869942e-05,7.720401465331039,0.07065274006609494,0.0020186862230184488,False,0.0,-1.2003580729166666e-05,4,40,False,,1264.9097900390625,3036.8525390625,164.13380016598967
