batch_idx,episode_start,episode_end,n_episodes_in_batch,device,total_ticks,mean_n_ticks,mean_reward,min_reward,max_reward,mean_buildings_destroyed,contained_rate,timeout_rate,any_anchor_in_batch,policy_loss,value_loss,classification_loss,entropy,approx_kl_first_epoch,approx_kl_last_epoch,epochs_run,minibatches_run,early_stopped,stop_reason,mean_unique_episodes_per_checked_minibatch,value_grad_norm,other_grad_norm,wall_time_s
1,1,4,4,mps,298,74.5,-32898.89140820631,-101872.1965400009,26.588384542904375,105.0,0.75,0.25,False,0.06822744624999662,1035.6953939124942,0.05515265662688762,4.343186388413112,0.0,0.06690134618106304,0,3,True,kl,2.6666666666666665,3559.313720703125,7233.3203125,25.373686625011032
2,5,8,4,mps,210,52.5,-40213.07765418493,-148727.02756608863,2.488748315331641,108.75,0.75,0.25,True,0.19410751713439822,934.427800281745,0.055895743367727846,4.445263527333736,0.0,0.037079909869602745,0,2,True,kl,3.0,3810.288330078125,9316.8408203125,12.51488750000135
3,9,12,4,mps,458,114.5,-95576.72039049717,-157038.9285371204,-2034.4876443744442,325.0,0.25,0.75,False,-0.2045129156904295,401.24331728200195,0.08026363565295469,4.2892323434352875,0.0,0.05447915860138606,0,2,True,kl,3.5,4025.53173828125,10201.0166015625,30.933776207995834
4,13,16,4,mps,311,77.75,-68569.54196509982,-161183.8294855147,8.317586378778088,236.0,0.5,0.5,True,0.43054082430899143,392.6837124824524,0.08885759970871732,4.072559520602226,0.0,0.04682262840761632,0,1,True,kl,2.0,5617.96923828125,14944.2216796875,15.818943834019592
5,17,20,4,mps,487,121.75,-82735.66861768239,-128834.21724700097,-30147.97571946539,272.5,0.25,0.75,False,0.12710693036206067,281.53377886652015,0.04852663478231989,3.618167594075203,0.0,0.12552994820126762,0,2,True,kl,3.0,6499.076171875,16818.068359375,25.46291579201352
6,21,24,4,mps,600,150.0,-88822.24294874434,-144319.8930017627,-2665.4811164362623,288.0,0.0,1.0,True,0.15183873125351965,319.4469671808183,0.1025251831888454,3.0638601407408714,0.0,0.17484689116477967,0,2,True,kl,4.0,8183.97509765625,20474.841796875,28.366719790996285
7,25,28,4,mps,337,84.25,-46276.02472135313,-114372.0966251267,-1692.7280095268075,155.75,0.5,0.5,True,0.3314791740849614,253.3400850519538,0.1945265305985231,2.650088846683502,0.0,0.04988499989495433,0,1,True,kl,2.0,11742.77734375,33314.66015625,15.964306041016243
8,29,32,4,mps,483,120.75,-86414.70387641648,-128509.36423645067,-11814.536230556001,285.75,0.25,0.75,False,0.03873397968709469,207.6054024543264,0.14129686033993494,2.0184080749750137,0.0,0.4739805457508095,0,2,True,kl,3.0,7418.50390625,24627.48828125,26.614403209008742
9,33,36,4,mps,320,80.0,-39850.54623810735,-109118.69847474342,-1640.7745610592672,126.5,0.5,0.5,True,0.02229847083799541,160.3389694094658,0.13447508365788963,1.539384439587593,0.0,0.10296134054660797,0,1,True,kl,3.0,8083.73193359375,28788.51953125,15.489364625012968
10,37,40,4,mps,429,107.25,-93818.93147676304,-176380.08671127763,-11909.874849259937,299.75,0.5,0.5,False,0.09814888937398791,247.51886219531298,0.08766958623891696,0.8411293923854828,0.0,0.10532750060786178,0,1,True,kl,4.0,24391.751953125,91666.8046875,21.760555499990005
11,41,44,4,mps,484,121.0,-87133.40624361999,-149853.59272676293,-12199.779769701385,286.5,0.25,0.75,True,0.06349769118241966,159.05657430144493,0.12147242973151151,0.38094388553872705,0.0,0.1967913070000893,0,2,True,kl,4.0,26422.259765625,103326.53125,25.20508179202443
12,45,48,4,mps,488,122.0,-92488.2909935369,-167798.87810129844,-11418.255598538883,305.75,0.25,0.75,False,-0.16042271081823856,571.2310650314903,0.19365822392865084,0.06328317138832062,0.0,0.03395508156448114,0,2,True,kl,3.0,39953.6015625,150669.3125,24.939647291990696
13,49,50,2,mps,300,150.0,-151634.12277741855,-159669.97676404176,-143598.26879079535,450.5,0.0,1.0,True,5.118555078903834e-05,495.1712672231131,0.2119882900050531,0.042030047467948556,0.0,0.019912796020507814,1,19,False,,2.0,33780.46484375,109051.03125,89.75089200001094
