episode,device,scenario,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,wall_time_s
1,mps,topanga_ridge,150,-10472.637318603014,32,False,-20051.464938964844,23515079.165625,0.11113876188794772,4.39464703241984,1.3247624564170837,3.069884565671285,9623094.0,21160024.0,9.615113624982769
2,mps,sullivan_canyon,150,-64564.40287296096,235,False,-95.46389469146729,503.57798946281275,0.09056817966202894,4.4156136894226075,1.2979107292493184,3.117702972094218,38824.0078125,90015.8359375,8.066353750007693
3,mps,single_training,16,-252.42164864777368,0,True,6.894103020429611,2.101063944399357,0.054442955646663904,4.705659478902817,1.312573827803135,3.3930856585502625,129.1160430908203,378.15655517578125,0.8891512499831151
4,mps,sullivan_canyon,150,-42539.5477912553,161,False,4.66928298720469,2.2992754341547212,0.07054199859499931,4.394377288818359,1.23185977379481,3.1625175031026203,3351.957275390625,8236.041015625,7.803756167006213
5,mps,sullivan_canyon,150,-61829.03971294778,227,False,1.0901328406855464,0.48097548318492045,0.09255322273199756,4.421015704472859,1.2396865487098694,3.181329129536947,1164.257080078125,2895.332275390625,8.138393750006799
6,mps,topanga_ridge,150,-9100.855642977445,27,False,9.5187420018514,5.639319903453191,0.11266854639475544,4.44560474395752,1.2542977611223856,3.191306978861491,4633.54248046875,9662.8662109375,7.96535125002265
7,mps,stone_canyon,150,-154127.15764675278,531,False,-12.240486645739292,9.753162204496531,0.07446288169672091,4.4650942945480345,1.266478216648102,3.1986160548528035,2918.658203125,5302.267578125,8.08535754098557
8,mps,sullivan_canyon,150,-43152.62799896717,157,False,3.748523843077322,1.0176535706965903,0.08358530182391405,4.478788032531738,1.276517666975657,3.2022703663508096,1904.7806396484375,4094.1103515625,8.649354042019695
9,mps,topanga_ridge,150,-12450.341672485518,40,False,6.24960802634557,2.3547081438669313,0.12599067026749253,4.487884810765585,1.28435786485672,3.2035269371668496,2562.488525390625,5482.7978515625,8.710057249991223
10,mps,topanga_ridge,150,-17597.85925638499,60,False,4.377971008221309,1.3190950086091955,0.1468400507606566,4.486395422617594,1.2910659583409627,3.195329457918803,1601.08349609375,3306.77587890625,8.734848749998491
11,mps,topanga_ridge,150,-19092.160371716156,66,False,2.9407148786013324,0.8056111861162207,0.11954650619998575,4.480995990435282,1.2956817436218262,3.1853142468134563,822.9542236328125,1854.16845703125,8.071963166992646
12,mps,topanga_ridge,150,-11897.201353299502,38,False,2.494423316580554,0.743512779047669,0.11925673230861623,4.474595104853313,1.30021835009257,3.1743767563501994,481.4940185546875,1104.67431640625,7.609099791996414
13,mps,sullivan_canyon,150,-37673.27003482953,142,False,-1.4196937058803936,0.3243083171687427,0.08002610104779402,4.454433962504069,1.3013336690266928,3.1531002934773764,1091.3328857421875,2225.494140625,7.458484457980376
14,mps,stone_canyon,150,-107163.46776833407,366,False,-8.985721162160237,4.9872607032457985,0.06673560510079066,4.444668896993002,1.3007954454421997,3.1438734563191733,4284.0517578125,8598.2626953125,6.390888207999524
15,mps,stone_canyon,150,-131776.36426276015,448,False,-10.905484689076742,7.088293860753377,0.0857057274878025,4.440378664334615,1.2987467908859254,3.1416318543752033,4955.4599609375,9597.25390625,6.514788500004215
16,mps,sullivan_canyon,150,-46926.1832059369,171,False,-2.2742742324620484,0.7100300366054095,0.11613169287641843,4.443204747835795,1.298735256989797,3.144469504356384,1726.5047607421875,3579.970703125,6.46025100001134
17,mps,sullivan_canyon,150,-50287.00752918701,189,False,-2.191698439686249,0.6377875599760076,0.1071830681959788,4.439882957140605,1.2983375318845114,3.1415454244613645,1644.9488525390625,3459.204345703125,6.408945417002542
18,mps,stone_canyon,150,-151290.3059004653,517,False,-10.420929741064707,6.0304832669099175,0.06850720567007859,4.442029291788737,1.2993419893582663,3.1426872873306273,3857.5791015625,7545.29736328125,6.324506083998131
19,mps,topanga_ridge,150,-5451.887062934556,12,False,3.238057928284009,0.7658006246219157,0.11136916814992825,4.448658116658529,1.3006908774375916,3.1479672304789226,554.2191162109375,1016.9847412109375,6.459729666996282
20,mps,stone_canyon,58,-11468.33037864784,38,True,4.1739903010171036,0.9146687516236099,0.02491635983360225,4.829592129279828,1.379001430396376,3.4505907132707794,180.93275451660156,364.46527099609375,2.838306542020291
21,mps,stone_canyon,150,-88934.51262137551,304,False,-3.3633565225203834,0.5960650793571646,0.057891804010917744,4.457050212224325,1.3030207276344299,3.15402947584788,1192.85009765625,2252.198486328125,7.043177292012842
22,mps,topanga_ridge,150,-13504.370285201621,45,False,2.68604495062648,0.5344628186359068,0.12678182114536563,4.457520815531413,1.3044406588872273,3.1530801614125568,538.4757080078125,950.67041015625,6.24795379198622
23,mps,sullivan_canyon,150,-60423.78410958371,221,False,-1.7344086142691473,0.20963319161872582,0.07995689925427238,4.457821814219157,1.3058849231402079,3.151936877568563,788.53564453125,1597.1475830078125,6.284628667024663
24,mps,sullivan_canyon,150,-50457.42121570881,189,False,-0.7052474410645664,0.0596074736567122,0.08015975350514054,4.4633882554372155,1.311030441125234,3.1523578278223674,420.0859375,881.0445556640625,6.179412583005615
25,mps,topanga_ridge,150,-16892.78986644065,57,False,2.7593543138168752,0.4791995029038541,0.1024176261946559,4.467814075152079,1.3168566195170084,3.150957458813985,823.2041625976562,1514.4095458984375,6.041600625001593
26,mps,topanga_ridge,150,-19389.530086098745,67,False,2.44485510502321,0.3970727029973568,0.10766545890520017,4.470965701738994,1.3213433821996052,3.1496223131815593,767.433837890625,1496.75537109375,5.9789355829998385
27,mps,single_training,150,-108536.371260032,353,False,-6.264939452384909,2.216645173370598,0.08985750697553158,4.469331138928731,1.3239099645614625,3.145421182314555,1574.01806640625,2866.2021484375,6.2342239579884335
28,mps,stone_canyon,150,-151755.85933550383,520,False,-8.826727242879569,4.407778221287687,0.09808568651477496,4.470416016578675,1.3269383804003398,3.143477643330892,2673.517333984375,5209.484375,6.920401166018564
29,mps,stone_canyon,150,-110968.42537876977,385,False,-4.450562567611535,1.0456445867118116,0.08806408469875654,4.481161899566651,1.3303687302271525,3.1507931741078696,1168.8172607421875,2316.93408203125,6.670977874979144
30,mps,single_training,150,-79136.39292654485,256,False,-2.2015152784469927,0.30628324080155694,0.05134794006745021,4.486095178922017,1.3328475149472554,3.1532476727167764,630.4255981445312,1218.7056884765625,6.981282791995909
31,mps,single_training,150,-133205.9290387416,429,False,-6.039398374787221,2.462912469649709,0.06708486255258322,4.494978070259094,1.3364330903689066,3.158544979095459,1139.048828125,2045.461669921875,6.976677707978524
32,mps,single_training,150,-83988.09575906905,278,False,-0.7667522231737772,0.6199419627587001,0.07026191093648473,4.505099622408549,1.3397290070851644,3.165370602607727,791.459228515625,1760.9130859375,7.117232541990234
33,mps,stone_canyon,150,-111249.53205172511,380,False,-2.1531303855776787,0.5406704459913696,0.06661321946730216,4.5123753213882445,1.3422500109672546,3.170125306447347,159.8819580078125,596.9509887695312,7.105551707994891
34,mps,topanga_ridge,150,-20351.125212274306,71,False,5.407695840199788,1.8518202437957128,0.1600224082823843,4.509814100265503,1.343532570997874,3.1662815300623577,2498.0166015625,4530.23779296875,7.263601334008854
35,mps,stone_canyon,150,-26943.53532757717,85,False,5.643405860265096,2.1670866662760577,0.021924086689638595,4.506646070480347,1.3437006370226543,3.1629454390207927,2883.18798828125,5260.40478515625,7.54016087501077
36,mps,stone_canyon,150,-136334.20336023168,469,False,-4.016937271455924,1.4501455653473385,0.08326210756630947,4.5021170806884765,1.3430633417765299,3.1590537230173745,386.4383544921875,790.355712890625,7.438692750001792
37,mps,topanga_ridge,150,-5628.731227693483,12,False,6.860351506868998,2.8209065441290537,0.16034763652520875,4.491443503697713,1.3423578246434529,3.1490856917699177,3099.60400390625,5504.58447265625,7.553012874996057
38,mps,sullivan_canyon,150,-35329.960738195565,130,False,3.946323103904724,1.08051972741882,0.08174111395453414,4.485136841138204,1.3420906408627828,3.1430462185541788,2020.8687744140625,3656.043701171875,6.868640458997106
39,mps,single_training,150,-129751.233791167,422,False,-4.443291877383987,1.741795769595677,0.08341732281260192,4.4780993620554606,1.3406546115875244,3.1374447631835936,668.968994140625,1100.128662109375,8.252797624998493
40,mps,single_training,150,-102519.11171520849,336,False,-1.7970393680036068,0.5499202656922474,0.07166695608446995,4.4655545043945315,1.3394648464520773,3.1260896507898965,125.75371551513672,503.019287109375,7.645235040981788
41,mps,topanga_ridge,150,-3003.3420906301308,2,False,7.015548979441325,2.5241326117515563,0.1067916064336896,4.458147079149882,1.3376512765884399,3.120495812098185,2757.261474609375,4735.74755859375,6.990738124994095
42,mps,topanga_ridge,150,-21428.474881514052,76,False,4.6605860988299055,1.2204054989417394,0.11375162746757268,4.446753636995951,1.3341838757197062,3.112569758097331,1749.3092041015625,2981.525634765625,6.670235625002533
43,mps,stone_canyon,150,-111530.37139304681,386,False,-2.081265174721678,0.5110194132530402,0.06428184712926546,4.438048839569092,1.3298579565684001,3.108190884590149,202.78968811035156,401.68865966796875,6.582504292018712
44,mps,topanga_ridge,150,-13809.135558587623,45,False,4.976368216673533,1.354054780403773,0.10118339190880457,4.4343284304936725,1.3277128847440083,3.106615568796794,1704.7445068359375,3053.671142578125,6.356229084020015
45,mps,sullivan_canyon,150,-42950.96406636669,164,False,2.127111814507904,0.25328950314687515,0.08098781580726305,4.427115896542867,1.3244363911946615,3.1026794989903768,520.9373168945312,1049.075927734375,6.560496833000798
46,mps,topanga_ridge,150,-9753.121740509423,29,False,4.61830443183581,1.1919490675131479,0.10420723070700963,4.420594538052876,1.3214559268951416,3.0991386063893636,1374.5299072265625,2520.937744140625,6.6980209999892395
47,mps,topanga_ridge,150,-19348.435731740617,67,False,3.226824735645205,0.6963582843511419,0.09971373079965512,4.408203040758769,1.3164147448539734,3.0917883046468098,603.9925537109375,1071.0550537109375,7.582054165977752
48,mps,sullivan_canyon,150,-59677.865039992976,220,False,-0.8334101827194293,0.2913191740867963,0.0848064969976743,4.394839582443237,1.3108085552851358,3.0840310446421304,999.0625610351562,1864.9095458984375,7.769330959010404
49,mps,topanga_ridge,150,-5289.3833319450505,10,False,3.5563235880931217,0.8418131306612728,0.10419377916802963,4.392551334698995,1.3080710768699646,3.0844802490870156,644.107421875,1168.5572509765625,7.71002079101163
50,mps,topanga_ridge,150,-10789.715593347,34,False,2.4045897453526655,0.6567920015551014,0.10116058797265093,4.383049774169922,1.303760260740916,3.079289509455363,180.17611694335938,580.7722778320312,8.045831916999305
51,mps,topanga_ridge,150,-4786.380618213973,9,False,2.4308469299754747,0.6706114555549296,0.10326631019512812,4.368620778719584,1.3001003575325012,3.0685204235712686,174.23731994628906,563.1842651367188,7.980360999994446
52,mps,single_training,150,-117336.1681942494,381,False,-7.666197373867035,3.405600938796997,0.06478877781579892,4.3548087994257605,1.3004388435681662,3.054369953473409,3177.887939453125,5267.95947265625,7.88314762499067
53,mps,stone_canyon,150,-96505.82820002701,332,False,-4.768014152844747,1.7652351653575897,0.05978554413964351,4.347257458368937,1.30184179464976,3.04541566212972,2621.735107421875,4794.9013671875,7.922114999993937
54,mps,single_training,150,-108616.9614642627,354,False,-7.262100798288981,3.0137243870894115,0.07447386495769023,4.34487197081248,1.3073188535372415,3.0375531164805096,2941.83837890625,4908.04150390625,7.795814125012839
55,mps,topanga_ridge,150,-8917.940253457295,27,False,1.4535487913588683,0.5811873319450145,0.09646880865097046,4.344099928538005,1.3157857656478882,3.0283141565322875,364.3882751464844,776.2142333984375,8.162318749993574
56,mps,topanga_ridge,150,-11398.92642069165,36,False,1.4210333566647022,0.5397336339110097,0.11172241461773713,4.341644895871481,1.323756815592448,3.0178880818684894,349.5228271484375,678.3660888671875,7.51900587498676
57,mps,topanga_ridge,150,-7033.581704150542,18,False,1.728542998560394,0.4949965310892503,0.10395902673403422,4.3419897731145225,1.3257728107770284,3.0162169472376505,126.48677825927734,354.58209228515625,7.729779249988496
58,mps,sullivan_canyon,150,-58309.611448128984,217,False,-2.7957500161975624,0.911652811440969,0.07412488043308257,4.351936238606771,1.3268802110354105,3.0250560267766318,1886.1446533203125,3097.828857421875,7.785760667000432
59,mps,single_training,150,-128108.59903832864,419,False,-8.64437122186025,4.177244202295939,0.0641779375448823,4.367430869738261,1.3299053279558817,3.037525545756022,3196.398681640625,5397.36865234375,7.80432079199818
60,mps,single_training,150,-127956.74609163408,417,False,-8.38156445423762,3.5764508108297983,0.07766903009265662,4.3736830266316735,1.3320314717292785,3.041651554107666,2922.6259765625,4640.693359375,7.968189708015416
