episode,device,scenario,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,wall_time_s
1,mps,topanga_ridge,150,-13931.345444885646,46,False,-27474.445690104167,45566988.96416666,0.11333390455072125,4.441478598912557,1.2964621957143148,3.145016409556071,14067265.0,28564190.0,6.839989667001646
2,mps,sullivan_canyon,150,-55923.378975021966,209,False,-40.92845122257869,103.05415580461423,0.07401560494055351,4.451345953941345,1.2955579702059428,3.155787981351217,17886.1171875,30617.001953125,7.0520932500076015
3,mps,single_training,16,-232.63181269540001,0,True,5.225588828325272,1.436332281678915,0.012557881302200258,4.486999481916428,1.3034984022378922,3.183501109480858,192.3950653076172,261.97674560546875,0.7973359589814208
4,mps,sullivan_canyon,150,-41592.907876603495,155,False,6.33979237139225,3.200441192618261,0.061863351057594024,4.367130780220032,1.277206384340922,3.0899243942896524,4512.65380859375,8566.4453125,6.549303167004837
5,mps,sullivan_canyon,150,-64790.67021998267,238,False,1.9744695154825846,1.5725221201280752,0.08264036385652919,4.373541593551636,1.2835515308380128,3.0899900754292804,2123.870361328125,5161.87353515625,6.854070375004085
6,mps,topanga_ridge,150,-27238.248762175186,97,False,9.180799955526988,5.248315021594365,0.12327136637022097,4.410529276529948,1.2938300124804178,3.1166992568969727,5606.2421875,8515.7509765625,6.573767207999481
7,mps,stone_canyon,150,-147275.07648050852,505,False,-11.298994951645533,8.413918487596868,0.06299061176677545,4.451149530410767,1.3018030246098837,3.149346531232198,4382.287109375,5697.60693359375,6.620948582974961
8,mps,sullivan_canyon,150,-43660.43999091499,165,False,6.8315130197380975,2.8739375386054355,0.07805618765453498,4.472846994400024,1.3072528632481892,3.1655941088994344,3888.10400390625,6144.30908203125,6.124172375013586
9,mps,topanga_ridge,150,-5993.619902486285,15,False,10.305743656158448,6.360909708837668,0.09275649577379226,4.498886413574219,1.3127547685305279,3.1861316474278767,5504.29150390625,9035.5732421875,6.2414957500004675
10,mps,topanga_ridge,150,-12748.7580028632,42,False,7.778378067413966,3.9287410528212785,0.10794054048756759,4.518158626556397,1.3151699503262837,3.2029886929194133,4005.5888671875,6699.50732421875,6.2120538750023115
11,mps,topanga_ridge,150,-15323.02674289301,52,False,6.3886178827285764,2.6328608056437224,0.1040544264515241,4.537342869440715,1.317904407978058,3.219438492457072,2916.973388671875,5161.61767578125,7.007642750017112
12,mps,topanga_ridge,150,-14800.872199569156,49,False,4.981263613800208,1.876827788746741,0.11083194432159264,4.547120904922485,1.3192851010958353,3.227835817337036,2020.0924072265625,3926.25146484375,6.82048912497703
13,mps,sullivan_canyon,150,-59745.76353242299,214,False,-1.9203370194261273,0.5018439524968502,0.08451919051508108,4.552821518580119,1.3202220702171326,3.2325994555155435,1066.863037109375,2342.926513671875,6.1109436659899075
14,mps,stone_canyon,150,-125244.34618994818,430,False,-9.399716606140137,4.115798211892446,0.061368239546815556,4.555998242696126,1.3204399943351746,3.2355582253138224,3403.999755859375,6493.33447265625,6.219974958017701
