episode,device,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,epochs_run,minibatches_run,early_stopped,stop_reason,wall_time_s
1,mps,4,-16.33441697048007,0,True,0.3452044725418091,199.24828147888184,0.01302514667622745,4.648745894432068,1.3526426255702972,3.296103298664093,43.91534423828125,75.20506286621094,1,1,False,,0.555322416999843
2,mps,150,-151558.5474631789,492,False,-0.1491963715106249,24831689.869635418,0.07483097032333413,4.454103240966797,1.3010663477579754,3.153036886850993,7738923.5,14689299.0,1,1,False,,6.637826666992623
3,mps,16,-258.7111080404705,0,True,0.01731588039547205,4.613953679800034,0.007306393381441012,4.720345139503479,1.3654232546687126,3.3549218624830246,209.50624084472656,281.16741943359375,1,1,False,,0.6364910830161534
4,mps,150,-148353.23211419876,487,False,-0.461911264359951,0.37759389851960196,0.0953707014179478,4.479240821202596,1.303599940141042,3.175640896161397,1362.3424072265625,3041.035888671875,1,1,False,,6.3623654159891885
5,mps,150,-108771.11768203303,360,False,-0.37723501099739226,1.324118773341179,0.07444842175580561,4.479833259582519,1.2998872049649557,3.179946034749349,2430.549072265625,4986.197265625,1,1,False,,6.180933708004886
6,mps,150,-145179.80480483588,471,False,-0.2592383007829388,0.10786093798596236,0.08165581257082521,4.4797428623835245,1.2971761417388916,3.1825667333602907,482.6445617675781,1224.7921142578125,1,1,False,,6.819359584013
7,mps,150,-121667.34537431429,398,False,-0.143625340188543,0.22770823930375628,0.07917995072280368,4.477394951184591,1.2945823939641317,3.1828125603993733,924.454833984375,1992.08740234375,1,1,False,,7.0059347079950385
8,mps,150,-119049.38120458384,393,False,0.20804757597856224,0.14553844109449224,0.056712825372815134,4.471552907625834,1.2925938121477762,3.1789590962727865,305.66351318359375,863.2162475585938,1,1,False,,6.7811641250154935
9,mps,150,-108672.08771718928,354,False,0.28412362510959305,0.11283301971409704,0.0773833987613519,4.467624006271362,1.2928693811098735,3.1747546132405597,298.8985900878906,820.1985473632812,1,1,False,,6.79380633297842
10,mps,150,-99908.20090380788,323,False,0.46451747256020703,0.6593935968059911,0.05946909599006176,4.462280173301696,1.2914540799458822,3.170826094945272,1207.393310546875,2962.647705078125,1,1,False,,6.789325999998255
11,mps,150,-91109.19042399955,301,False,0.22298045158386232,0.20853236348731494,0.06345316582669815,4.461506106058756,1.290503499507904,3.171002600987752,289.1000671386719,821.983642578125,1,1,False,,6.811029042000882
12,mps,4,8.317586378778088,0,True,0.06885874271392822,2.838411033153534,0.016703307628631592,4.7933032512664795,1.3768113255500793,3.4164919257164,27.362035751342773,40.53963088989258,1,1,False,,0.183833416987909
13,mps,150,-120183.94904425967,398,False,0.3584848365187645,0.458759713892094,0.07143785697718462,4.461742630004883,1.2912391901016236,3.1705034255981444,1341.4002685546875,2940.2451171875,1,1,False,,6.809616417012876
14,mps,150,-111083.65408978055,365,False,0.07635490581393242,0.20069305934822598,0.09474882803236445,4.4660430335998536,1.2908315841356914,3.1752114407221477,525.3316040039062,1208.08203125,1,1,False,,6.821858457988128
15,mps,150,-110164.45088716532,364,False,-0.2877542234708865,0.052071372596540946,0.09548039864127834,4.4731218560536705,1.2922343683242798,3.1808874781926475,259.58880615234375,930.8497314453125,1,1,False,,6.676157041976694
16,mps,150,-104658.8685152855,345,False,-0.021699520045125004,0.051785465805317774,0.06972785442446669,4.476623950004577,1.2927730210622153,3.1838509289423627,233.61764526367188,796.3726196289062,1,1,False,,6.818577124999138
17,mps,150,-122928.30311602836,400,False,-0.19480716034770013,0.1653614811511943,0.07627938078095516,4.4824500036239625,1.294084632396698,3.1883653688430784,276.11419677734375,794.3449096679688,1,1,False,,6.79539787498652
18,mps,150,-112951.35720593996,369,False,-0.27021235374733804,0.0856911541748578,0.07206392638385296,4.4836180273691815,1.2900593852996827,3.1935586484273273,351.7378845214844,972.0520629882812,1,1,False,,6.838959416025318
19,mps,150,-112605.53125736614,367,False,-0.24130851476142803,0.16500869938930748,0.0676798876747489,4.482452581723531,1.284651387532552,3.197801192601522,598.6957397460938,1420.409423828125,1,1,False,,6.6866075830184855
20,mps,150,-103367.10773397965,339,False,-0.25830875284969806,0.1830791769785962,0.056774232226113476,4.477698462804159,1.2783557971318562,3.1993426577250164,775.045166015625,1781.72998046875,1,1,False,,6.80105141599779
21,mps,150,-77074.55292331018,252,False,0.21770233432451883,0.5422514456510544,0.060396055641273656,4.473570545514424,1.2734570113817851,3.2001135301589967,1043.25732421875,2042.0604248046875,1,1,False,,6.817215124989161
22,mps,150,-114487.62157955114,376,False,-0.039336375885953505,0.11754869846036778,0.07572062697572013,4.466025694211324,1.26866268436114,3.1973630158106485,339.3384704589844,804.1118774414062,1,1,False,,6.815278791997116
23,mps,150,-95876.29150386716,310,False,-0.3143289579326908,0.18055582750461857,0.06635890952932338,4.456483839352925,1.2631637986501059,3.1933200327555338,744.924560546875,1711.2113037109375,1,1,False,,6.739886124996701
24,mps,150,-141542.7531732408,464,False,0.13595356344555815,1.1196235563311105,0.08534962836963435,4.447345291773479,1.2586883723735809,3.1886569197972614,1671.645263671875,3618.54443359375,1,1,False,,6.825820208003279
25,mps,150,-105607.18512250304,345,False,0.2984726824983954,0.2692219073297169,0.07080697609111666,4.44043817838033,1.2547589540481567,3.185679235458374,861.8026123046875,2137.221435546875,1,1,False,,6.655023875006009
26,mps,16,-220.65388328273124,0,True,-0.2185062482021749,2.6906434446573257,0.010080338222905993,4.777583748102188,1.375769853591919,3.4018139094114304,120.47172546386719,209.02479553222656,1,1,False,,0.7015203750052024
27,mps,150,-112207.07019521252,367,False,0.21433755251268546,0.2762355533927863,0.06370132573569814,4.425944647789001,1.2474279197057088,3.1785167264938354,753.2060546875,1808.1292724609375,1,1,False,,6.6640637920063455
28,mps,150,-117521.6079709835,383,False,0.2291218369950851,0.22281119489266227,0.07693793025488654,4.421023470560709,1.2462364765008291,3.1747869952519734,812.9739379882812,1729.4815673828125,1,1,False,,6.845912791002775
29,mps,150,-134268.8638964555,440,False,0.06747001449267069,0.6072610142704797,0.061219508685171606,4.417234082221984,1.2455831861495972,3.1716508881251015,1122.525146484375,2207.71044921875,1,1,False,,6.632368833001237
