episode,device,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,epochs_run,minibatches_run,early_stopped,stop_reason,wall_time_s
1,mps,150,-93391.80466927949,305,False,0.170044801767217,1927446585.66875,0.07802447447087615,3.8927924712498982,1.2964680298169453,3.144315013885498,12415909.0,18382962.0,1,10,False,,8.426355667004827
2,mps,150,-102032.13784486483,336,False,0.01718948463598887,154.63129899342854,0.17142823594001433,2.043189821243286,0.22657833049694698,1.8986537671089172,2672.4404296875,3294.25830078125,1,10,False,,7.833880708989454
3,mps,4,31.134151500209654,0,True,-7.450580596923828e-09,38.623379707336426,0.0030512107186950743,2.5551859736442566,0.5040601044893265,2.0511258840560913,1059.7559814453125,1542.7474365234375,1,1,False,,0.2078626659931615
4,mps,150,-135173.23229365202,440,False,0.13858311792214711,23.40582513697756,0.07657723573657374,3.587547077337901,0.6482144208749135,2.0874047303199768,144.9439239501953,240.6705322265625,1,10,False,,7.835036333010066
5,mps,150,-155679.24095697774,500,False,0.0905613390604655,2.1352948826035814,0.08565892425676187,4.562451416651408,1.2300468548138936,3.186402629216512,11.336627960205078,65.40849304199219,1,10,False,,7.798639916989487
6,mps,150,-143981.3874029209,467,False,0.005495128370821476,0.35870189210955383,0.08631569981575012,4.6034988594055175,1.2775930349032085,3.343053951263428,17.95476531982422,94.19705963134766,1,10,False,,7.829549249989213
7,mps,150,-108020.62271107998,357,False,0.03337948637092874,0.7099257938992438,0.09520070448517799,4.60211633682251,1.2176999394098917,3.3167074743906655,16.877656936645508,120.9261474609375,1,10,False,,7.788692458008882
8,mps,150,-118896.06002167324,393,False,-0.005296838010350863,0.5470982501939475,0.07895133539723853,4.628361310958862,1.3353674840927123,3.308607635498047,23.151506423950195,49.227203369140625,1,10,False,,7.793753292004112
9,mps,150,-102957.58199706228,341,False,0.018555346752206485,0.25785805643414883,0.08702988219757875,4.636763944625854,1.262575143178304,3.336098688443502,5.996607780456543,38.08395004272461,1,10,False,,7.884171125013381
10,mps,150,-94483.59806289196,309,False,0.0014486144483089446,0.28315335349838583,0.056472588169078033,4.662710444132487,1.3342550094922383,3.337677305539449,2.6776387691497803,48.69380187988281,1,10,False,,7.808358624984976
11,mps,150,-91142.69166043182,301,False,0.00408511924460375,0.11382875499207026,0.06707284341255824,4.639401248296102,1.3111845183372497,3.3416460879643757,0.9212512969970703,17.97857093811035,1,10,False,,7.958566332992632
12,mps,4,8.317586378778088,0,True,-7.450580596923828e-09,2.1219966411590576,0.023252407554537058,4.8020347356796265,1.3779397308826447,3.4240949749946594,24.850353240966797,41.39927673339844,1,1,False,,0.21644704201025888
13,mps,150,-121194.7665838757,401,False,-0.015356308159728846,0.696098807490683,0.07044341469804447,4.636843779881795,1.2882403421401978,3.335672287940979,30.332948684692383,133.2300567626953,1,10,False,,7.816962833981961
14,mps,150,-111008.09942443621,365,False,0.0004996040587623914,0.36132324110331865,0.08440040745461981,4.642587569554647,1.3128236015637715,3.3470017751057943,6.754363536834717,33.80467224121094,1,10,False,,7.719059249997372
15,mps,150,-113302.94554984916,375,False,-0.008637183125441273,0.09303964194191697,0.0855014800404509,4.610956751505534,1.2670628023147583,3.3441858800252278,2.1685283184051514,81.1240463256836,1,10,False,,7.835005375003675
16,mps,150,-102255.15597703804,337,False,0.015828775217135747,0.09110030899654552,0.06749924596399069,4.531686336199442,1.2511343483130137,3.325682578086853,3.1902577877044678,41.840152740478516,1,10,False,,7.832383333006874
17,mps,150,-146962.88412876023,475,False,-0.004349257256835699,0.7022146795565883,0.07523681196073691,4.538452080090841,1.1938145184516906,3.3208604049682617,23.15179443359375,64.53901672363281,1,10,False,,7.854557457991177
18,mps,150,-110095.29278345975,358,False,0.010642724968492985,0.8513300788064952,0.07514035352195303,4.505286990801493,1.1924533744653065,3.3264610735575357,30.545881271362305,86.73365020751953,1,10,False,,7.781217374984408
19,mps,150,-130856.44953706041,428,False,-0.009737250618636608,0.30884943174314683,0.07503109224761526,4.50647045135498,1.1580844859282176,3.3371647946039835,9.750691413879395,59.49966049194336,1,10,False,,7.8179157500271685
20,mps,150,-107400.3157780382,360,False,0.0019053089090933402,0.20335086666838229,0.06141699141512314,4.508839429219564,1.16441996494929,3.3517005681991576,16.288320541381836,126.55184936523438,1,10,False,,7.795504958019592
21,mps,150,-135336.84799943696,437,False,0.0003023892765243848,0.49524646036792547,0.06120339640105764,4.476828282674154,1.1686210167407989,3.323008213043213,11.120407104492188,42.554893493652344,1,10,False,,7.917469209001865
22,mps,150,-114606.1145879724,376,False,0.0031979674162964026,0.37545345953588066,0.06841090639742713,4.44788541316986,1.1712391396363577,3.2960398483276365,14.105611801147461,24.79998779296875,1,10,False,,7.864044999994803
23,mps,150,-116027.69829616268,378,False,-0.005402464605867863,0.20905911246074538,0.058630438291778164,4.417501077651978,1.143456213871638,3.2811275736490884,19.60080337524414,49.76283645629883,1,10,False,,7.786112000001594
24,mps,150,-142576.0063307306,463,False,-0.009340778222928444,0.8039005812525284,0.07009272083640099,4.372217055956523,1.0944026617209117,3.2914554405212404,20.95612907409668,27.208221435546875,1,10,False,,8.056384791998425
25,mps,150,-105639.81802203869,345,False,0.020454904170085986,0.5115411479305476,0.0661815620927761,4.3783229732513425,1.0858052722613016,3.276425372759501,22.123228073120117,58.39784622192383,1,10,False,,7.780723665986443
26,mps,16,-220.6261403483511,0,True,-2.3865140974521637e-09,4.580884501338005,0.008084950997726992,4.835680156946182,1.3780390173196793,3.4576411694288254,70.84178161621094,140.00051879882812,1,1,False,,0.8016454169992357
27,mps,150,-112238.80786162295,367,False,-0.0009493475003788869,0.23591174682233637,0.06516601325323185,4.391632170677185,1.091847912867864,3.294264373779297,3.5584757328033447,35.94298553466797,1,10,False,,7.808164082991425
