episode,device,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,epochs_run,minibatches_run,early_stopped,stop_reason,wall_time_s
1,mps,150,-92976.90889027565,305,False,0.057816594218214355,19863.626723457972,0.07857492971234023,3.898128679593404,1.296254466374715,3.14406405766805,42462.671875,63574.19140625,1,10,False,,8.554688374977559
2,mps,150,-165457.7418420082,539,False,0.4196888197856606,437.5872470465985,0.30110185623634605,1.166916019320488,0.2778523204723994,1.8164088265101115,40679.97265625,72274.640625,1,10,False,,8.00110420800047
3,mps,16,-182.95476672161513,0,True,-2.3283064365386963e-09,1304.145107269287,0.004500067050685175,0.7141055501997471,0.0024957309797173366,0.7116098180413246,156082.390625,278892.25,1,1,False,,0.6891336659900844
4,mps,150,-147409.46259486687,487,False,0.07201459582274158,134.9889930867528,0.37233669779108214,0.6228075500329335,0.013638502840573588,0.6810671486457189,17205.740234375,29773.7734375,1,10,False,,7.691395624977304
5,mps,150,-133764.92742823,435,False,0.14059507529251278,133.23453429374106,0.3622469611046836,0.8222272415955861,0.4613639960686366,0.3241993055740992,19256.87109375,32324.81640625,1,10,False,,8.150055625010282
6,mps,150,-144744.07964311296,471,False,0.027560381591320036,120.09865737828116,0.2631702382536605,0.9394192075729371,0.619411458571752,0.37434974739948906,20921.19921875,35821.74609375,1,10,False,,7.830583250004565
7,mps,150,-126248.83354505568,422,False,0.04441603382428487,69.56301704402392,0.23481217732653023,0.827222642103831,0.6889068388938904,0.19544435878594715,4897.87939453125,7683.1298828125,1,10,False,,7.96722970798146
8,mps,150,-118767.14002904417,393,False,0.2139705730300193,127.90601934053004,0.12463723482253651,0.4461115593959888,0.6856599799791971,0.18943831771612168,2114.697021484375,3275.75537109375,1,10,False,,8.484789792011725
9,mps,150,-102106.0672259748,340,False,0.1360357086484631,87.39374894134235,0.11693152517080307,0.5410174681649854,0.00742607271609207,0.5672808624555667,13712.55859375,23390.4375,1,10,False,,8.15788704098668
10,mps,150,-101582.24126079344,329,False,0.07224813725799323,111.10521716391047,0.0731217450896899,0.40871007286012173,0.0014762287493795157,0.5116757075364391,13483.4296875,20648.134765625,1,10,False,,7.9730830829939805
