episode,device,scenario,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,aux_zone_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,wall_time_s
1,mps,stone_canyon,150,-72252.67327198596,246,False,-133444.82631673178,912496937.6979166,0.04649091611926754,3.6295065673192344,4.474529504776001,1.2966643126805624,3.1778651968638103,56087868.0,109089400.0,11.961527459003264
2,mps,stone_canyon,150,-138038.70041585068,477,False,-12.65991946876049,10.400186158625099,0.06101202831293146,3.782622580528259,4.382870251337687,1.288295614719391,3.0945746310551963,5358.4189453125,9393.4541015625,11.242599499993958
3,mps,single_training,5,7.261659461237702,0,True,10.112031555175781,3.6588149547576903,0.013600630313158035,4.339935398101806,4.32898178100586,1.2949906826019286,3.033991003036499,99.08109283447266,266.4458312988281,0.4130447499919683
4,mps,stone_canyon,150,-190404.41109343234,652,False,-0.07461085001627604,2.5958823055028915,0.06688411079347134,3.720790417989095,4.304475876490275,1.269307673772176,3.035168202718099,1731.1903076171875,5349.90380859375,11.191466124990257
5,mps,single_training,150,-109043.17238683274,361,False,9.210099818110466,6.284581861896441,0.08576632969081402,3.889819170633952,4.372477633158366,1.2797560985883076,3.0927215242385864,6396.75244140625,12407.693359375,11.282661750010448
6,mps,single_training,150,-144465.44002171938,471,False,5.498513531989108,2.996176409775737,0.08394794322550297,3.6977691014607745,4.445551344553629,1.288568663597107,3.1569826714197795,4141.134765625,8405.6728515625,11.067843791999621
7,mps,single_training,150,-100586.65871162631,335,False,8.439319820404053,4.496846695418159,0.08787465659280617,3.684098744392395,4.508579937616984,1.291404573917389,3.2171753438313804,5128.3505859375,9135.7080078125,11.263355957984459
8,mps,single_training,150,-111897.56978827955,368,False,5.935796777208646,2.2616639997414314,0.08760136517385642,3.6075386714935305,4.562435344060262,1.2918728637695311,3.2705624771118162,3534.59130859375,6629.962890625,10.87294429098256
9,mps,single_training,150,-101693.63204533902,337,False,5.550878441904982,1.9139337306048643,0.0971603736281395,3.6520975240071616,4.604940083821615,1.29323428551356,3.3117057927449545,3116.6953125,6132.13427734375,11.23745787498774
10,mps,single_training,150,-102244.37090699287,330,False,2.9571381383140882,0.6043245912251102,0.07970988291005293,3.6137672678629555,4.637014166514079,1.2918304983774822,3.3451836585998533,1096.05419921875,2041.6092529296875,10.99428149999585
11,mps,stone_canyon,150,-161839.9877524525,556,False,-2.3591594431983927,0.4230696911360125,0.0777864653368791,3.49635435740153,4.661671342849732,1.2895142388343812,3.3721571095784504,537.3544311523438,1171.4493408203125,11.09292408399051
12,mps,stone_canyon,150,-168183.45719577937,575,False,-4.02371223449707,0.8960124437138438,0.06859288889914751,3.4662439902623494,4.675438512166341,1.2879569188753763,3.3874815988540647,1752.2115478515625,3626.130859375,10.984089709003456
13,mps,single_training,150,-113780.66900964984,371,False,-0.05911546205170452,0.10714870879952657,0.07633380451550087,3.551136959393819,4.684857432047526,1.2876761054992676,3.3971813249588014,207.0055694580078,560.7482299804688,10.97441612498369
14,mps,single_training,150,-99720.26031784079,329,False,0.7185106111814579,0.2543829452747984,0.09015112741539875,3.579613768259684,4.698322474161784,1.2892830006281535,3.409039478302002,229.60162353515625,606.4172973632812,11.003597917006118
15,mps,stone_canyon,150,-116876.83012335844,400,False,-0.3366815636694082,0.47618397026584697,0.061429615976909796,3.4695952494939166,4.716926352183024,1.2926893822352092,3.4242369969685873,916.7543334960938,1949.0650634765625,11.358218250010395
16,mps,single_training,150,-116998.13789739087,385,False,-0.7337650545313954,0.17742892206610122,0.08161493512491386,3.5227065324783324,4.728447167078654,1.2954298043251038,3.4330173540115356,649.9199829101562,1356.0042724609375,11.208802374982042
17,mps,stone_canyon,4,-1348.801660873539,5,True,7.905836582183838,2.79622882604599,0.01940334727987647,3.4786314368247986,4.828365802764893,1.3750733137130737,3.453292489051819,32.56766891479492,79.82633209228516,0.37051954100024886
18,mps,single_training,150,-107643.91764032809,348,False,1.0929556898865849,0.1026102554625255,0.0793789763127764,3.4980227915445963,4.737770471572876,1.297849845091502,3.439920636812846,338.23333740234375,619.6627197265625,10.758543416013708
19,mps,stone_canyon,150,-121630.27506849334,418,False,0.3730173793931802,0.09673103990617771,0.05752388335764408,3.4614316685994466,4.73861078898112,1.299095445473989,3.4395153538386025,110.26737976074219,436.5017395019531,10.941476374980994
20,mps,single_training,150,-133976.80460632002,434,False,-1.679222535789013,0.18964032415455828,0.07059889713923137,3.492300966580709,4.739417254130045,1.3027234276135762,3.4366938241322837,699.8084716796875,1326.1324462890625,11.085103250021348
21,mps,single_training,150,-134712.37932741392,437,False,-1.6894637300462152,0.35397647996595744,0.06449220278610786,3.482361028989156,4.741120805740357,1.3065153606732687,3.4346054633458456,810.6753540039062,1637.7757568359375,11.517865667003207
22,mps,single_training,150,-114569.91670650229,376,False,0.9796099182652931,0.1310434150406966,0.07198336519300938,3.508664911588033,4.741538381576538,1.3095401557286581,3.4319982433319094,514.252685546875,977.1105346679688,11.149383834010223
23,mps,stone_canyon,150,-127273.92429141916,438,False,0.9750697346404195,0.18280723636909899,0.06139179460704327,3.457240843772888,4.744378252029419,1.3127732690175373,3.4316049814224243,582.8114013671875,1170.6212158203125,11.149336665985174
24,mps,single_training,150,-141015.3227926148,458,False,-1.5681324574165045,0.4167049613917849,0.0783430697893103,3.470058937072754,4.742516339619955,1.3144044923782348,3.4281118472417194,272.1162414550781,545.0255737304688,11.112687124987133
25,mps,single_training,150,-105668.30378459551,345,False,1.7261997114370267,0.22430771390742546,0.06914343558251858,3.5300053787231445,4.742045481999715,1.3149012104670206,3.427144265174866,683.0765991210938,1293.710205078125,11.04499295799178
