episode,device,scenario,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,aux_zone_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,wall_time_s
1,mps,single_training,150,-101104.89565465144,335,False,-209054.41409505208,2252546232.0551043,0.0639446123689413,3.6328422609965005,4.620128892262777,1.2966536974906921,3.323475219408671,85461152.0,160075856.0,11.873671875015134
2,mps,stone_canyon,150,-106223.77870013232,365,False,5.520008404751619,2.1093305864941794,0.05571965957681338,3.5282336235046388,4.569310054779053,1.2935059452056885,3.2758040968577067,3052.612060546875,6460.73828125,11.744409708015155
3,mps,single_training,16,-222.3090251192387,0,True,13.337164759635925,8.28700366616249,0.020673289545811713,3.8963973820209503,4.6080842316150665,1.3386868089437485,3.269397407770157,372.9697265625,480.3326110839844,1.218858749984065
4,mps,stone_canyon,150,-93331.86882050442,321,False,4.391208224495252,1.1109547609556467,0.05696484828988711,3.525519231160482,4.646713027954101,1.3047713430722554,3.341941688855489,1921.64501953125,3624.119384765625,11.29841687498265
5,mps,stone_canyon,3,21.208375822300436,0,True,9.420005639394125,4.076455275217692,0.010116734852393469,3.5388241608937583,4.69780953725179,1.3449900150299072,3.3528195222218833,46.2967414855957,80.84305572509766,0.2420100829913281
6,mps,single_training,150,-146768.53657810434,477,False,-6.318473481138548,2.5599751583793355,0.08313940917452177,3.4890406211217244,4.720338382720947,1.3024404573440551,3.41789793809255,2058.00439453125,3431.185791015625,11.128773750009714
7,mps,stone_canyon,150,-145084.57834395173,494,False,-2.040611390074094,0.3064865218801424,0.07706528714237114,3.4349346001942953,4.736167621612549,1.2964633440971374,3.439704281489054,706.1796264648438,1291.937255859375,11.967881000018679
8,mps,stone_canyon,150,-117622.1967357927,402,False,2.3322733414421477,0.5753732601557082,0.07412228308618068,3.43624830087026,4.741002216339111,1.2892817489306132,3.4517204554875693,1447.6278076171875,3296.1162109375,11.061563458992168
9,mps,single_training,150,-116733.09793453079,383,False,0.3964211836953958,0.13345199726613524,0.08231997611311574,3.511393780708313,4.738824965159099,1.282919980684916,3.455904982884725,470.86993408203125,1188.5694580078125,11.477712000021711
10,mps,single_training,150,-118437.79511922745,385,False,-0.4983507584501058,0.14893236748086716,0.07237047684068482,3.511575158437093,4.735897032419841,1.2780853287378946,3.457811713218689,411.2541198730469,1123.219482421875,10.81677987499279
11,mps,single_training,150,-138997.98149570663,455,False,-1.966021222124497,0.29959236148162743,0.07953421698572735,3.499269259770711,4.732075427373251,1.2734650627772013,3.458610348701477,515.0323486328125,831.7092895507812,10.542617790983059
12,mps,single_training,150,-79349.25112349066,259,False,4.9294276416301726,1.2641836421874662,0.07193938383211693,3.4830409542719525,4.730772155125936,1.2727791023254396,3.457993035316467,2335.724609375,4794.77587890625,10.581606666004518
13,mps,stone_canyon,150,-135529.78111287762,464,False,0.3906289469450712,0.3975502591326343,0.068874535014232,3.4369923226038614,4.728974917729696,1.2723303357760112,3.456644579569499,798.5365600585938,2084.883056640625,10.615487792005297
